# hanzi	pinyin	HSK level (HSK 3.0 standard, public list)
品牌	pǐnpái	6
品种	pǐnzhǒng	5
品行	pǐnxíng	7
品质	pǐnzhì	4
哄	hǒng	7
哄堂大笑	hōngtángdàxiào	7
哆嗦	duōsuo	7
哇	wa	6
哈哈	hā hā	3
响	xiǎng	2
响亮	xiǎngliàng	7
响声	xiǎngshēng	6
响应	xiǎngyìng	7
响起	xiǎngqǐ	7
哎	āi	6
哎呀	āiyā	6
哑	yǎ	7
哗变	huábiàn	7
哗然	huárán	7
哥哥	gē ge	1
哦	ò	7
哪	nǎ	1
哪些	nǎ xiē	1
哪儿	nǎr	1
哪怕	nǎpà	4
哪知道	nǎzhīdào	7
哪里	nǎ lǐ	1
哭	kū	2
哭泣	kūqì	7
哭笑不得	kūxiàobùdé	7
哲学	zhéxué	6
哺育	bǔyù	7
哼	hēng	7
唉	ài	7
唠叨	láodao	7
唤起	huànqǐ	7
售价	shòujià	7
售票	shòupiào	7
售货员	shòuhuòyuán	4
唯	wéi	7
唯一	wéiyī	5
唯独	wéidú	7
唱	chàng	1
唱歌	chàng gē	1
唱片	chàng piàn	4
唾液	tuòyè	7
商业	shāngyè	3
商人	shāng rén	2
商务	shāngwù	4
商品	shāngpǐn	3
商场	shāng chǎng	1
商城	shāngchéng	6
商店	shāngdiàn	1
商标	shāngbiāo	5
商讨	shāngtǎo	7
商贩	shāngfàn	7
商贾	shānggǔ	7
商量	shāngliang	2
啊	a	2
啤酒	píjiǔ	3
啦	la	6
啦啦队	lālāduì	7
喂	wèi	2
喂养	wèiyǎng	7
善	shàn	7
善于	shànyú	4
善意	shànyì	7
善良	shànliáng	4
喇叭	lǎba	7
喉咙	hóulóng	7
喊	hǎn	2
喘	chuǎn	7
喘息	chuǎnxī	7
喜事	xǐshì	7
喜出望外	xǐchūwàngwài	7
喜剧	xǐ jù	5
喜好	xǐhào	7
喜庆	xǐqìng	7
喜怒哀乐	xǐnù'āilè	7
喜悦	xǐyuè	7
喜欢	xǐhuan	1
喜洋洋	xǐyángyáng	7
喜爱	xī ài	4
喜糖	xǐtáng	7
喜酒	xǐjiǔ	7
喝	hē	1
喝彩	hècǎi	7
喧哗	xuānhuá	7
喧闹	xuānnào	7
喷	pēn	5
喷泉	pēnquán	7
嗅觉	xiùjué	7
嗓子	sǎngzi	7
嗜好	shìhào	7
嘉宾	jiābīn	6
嘉年华	jiāniánhuá	7
嘛	ma	6
嘱咐	zhǔfù	7
嘲弄	cháonòng	7
嘲笑	cháoxiào	7
嘴	zuǐ	2
嘴巴	zuǐ ba	4
嘿	hēi	7
器官	qìguān	4
器材	qìcái	7
器械	qìxiè	7
噪声	zàoshēng	7
噪音	zàoyīn	7
嚷	rǎng	7
嚼	jiáo	7
囚犯	qiúfàn	7
四	sì	1
四合院	sìhéyuàn	7
四周	sì zhōu	5
四处	sìchù	6
四季	sìjì	7
四面八方	sìmiànbāfāng	7
回	huí	1
回信	huí xìn	5
回到	huí dào	1
回升	huíshēng	7
回去	huí qù	1
回味	huíwèi	7
回国	huí guó	2
回复	huí fù	4
回头	huí tóu	5
回家	huí jiā	1
回应	huíyìng	6
回归	huíguī	7
回忆	huíyì	5
回忆录	huíyìlù	7
回想	huíxiǎng	7
回扣	huíkòu	7
回报	huíbào	5
回收	huíshōu	5
回来	huí lái	1
回答	huídá	1
回落	huíluò	7
回避	huíbì	5
回顾	huígù	5
回馈	huíkuì	7
回首	huíshǒu	7
因	yīn	6
因为	yīn wèi	2
因人而异	yīnrén'éryì	7
因此	yīncǐ	3
因素	yīnsù	6
因而	yīn'ér	5
团	tuán	3
团伙	tuánhuǒ	7
团体	tuántǐ	3
团员	tuányuán	7
团圆	tuányuán	7
团结	tuánjié	3
团聚	tuánjù	7
团长	tuán zhǎng	5
团队	tuánduì	6
园	yuán	6
园地	yuándì	6
园林	yuánlín	5
困	kùn	3
困境	kùnjìng	7
困惑	kùnhuò	7
困扰	kùn rǎo	5
困难	kùnnán	3
围	wéi	3
围墙	wéiqiáng	7
围巾	wéijīn	4
围绕	wéirào	5
固定	gùdìng	4
固执	gùzhí	7
固然	gùrán	7
国	guó	1
国产	guóchǎn	6
国会	guóhuì	6
国内	guó nèi	3
国土	guótǔ	7
国外	guó wài	1
国学	guóxué	7
国宝	guóbǎo	7
国家	guójiā	1
国庆	guó qìng	3
国徽	guóhuī	7
国情	guóqíng	7
国旗	guóqí	6
国有	guóyǒu	7
国歌	guógē	6
国民	guó mín	5
国王	guówáng	6
国画	guóhuà	7
国籍	guójí	5
国防	guófáng	7
国际	guójì	2
图	tú	3
图书	túshū	6
图书馆	túshūguǎn	1
图像	túxiàng	7
图形	túxíng	7
图案	tú'àn	4
图片	tú piàn	2
图画	tú huà	3
图纸	túzhǐ	7
图表	túbiǎo	7
圆	yuán	4
圆形	yuánxíng	7
圆满	yuánmǎn	4
圆珠笔	yuánzhūbǐ	6
圈	quān	4
圈套	quāntào	7
圈子	quānzi	7
土	tǔ	3
土匪	tǔfěi	7
土地	tǔdì	4
土壤	tǔrǎng	7
土生土长	tǔshēngtǔzhǎng	7
土豆	tǔdòu	5
圣诞节	shèngdànjié	6
圣贤	shèngxián	7
在	zài	1
在乎	zàihu	4
在于	zàiyú	4
在内	zài nèi	5
在场	zài chǎng	5
在家	zài jiā	1
在意	zàiyì	7
在线	zàixiàn	7
在职	zàizhí	7
地	de	1
地上	dì shàng	1
地下	dì xià	4
地下室	dìxiàshì	6
地下水	dìxiàshuǐ	7
地位	dìwèi	4
地区	dìqū	3
地名	dìmíng	6
地图	dìtú	1
地址	dìzhǐ	4
地域	dìyù	7
地带	dì dài	5
地形	dì xíng	5
地方	dìfang	1
地板	dìbǎn	6
地步	dìbù	7
地段	dìduàn	7
地毯	dìtǎn	7
地点	dìdiǎn	1
地狱	dìyù	7
地球	dìqiú	2
地理	dìlǐ	7
地质	dìzhì	7
地道	dìdao	7
地铁	dìtiě	2
地铁站	dì tiě zhàn	2
地震	dìzhèn	5
地面	dì miàn	4
场	chǎng	2
场合	chǎnghé	3
场地	chǎngdì	6
场所	chǎngsuǒ	3
场景	chǎngjǐng	6
场面	chǎngmiàn	5
场馆	chǎngguǎn	6
均匀	jūnyún	7
均衡	jūnhéng	7
坏	huài	1
坏事	huàishì	7
坏人	huài rén	2
坏处	huài chù	2
坐	zuò	1
坐下	zuò xià	1
坑	kēng	7
块	kuài	1
坚信	jiānxìn	7
坚决	jiānjué	3
坚固	jiāngù	4
坚守	jiānshǒu	7
坚定	jiāndìng	5
坚实	jiānshí	7
坚强	jiānqiáng	3
坚持	jiānchí	3
坚持不懈	jiānchíbúxiè	7
坚硬	jiānyìng	7
坚韧	jiānrèn	7
坛	tán	7
坝	bà	7
坟	fén	7
坟墓	fénmù	7
坡	pō	6
坦克	tǎnkè	7
坦然	tǎnrán	7
坦率	tǎnshuài	7
坦白	tǎnbái	7
坦诚	tǎnchéng	7
垂	chuí	7
垂头丧气	chuítóusàngqì	7
垃圾	lā jī	4
垄断	lǒngduàn	7
型	xíng	4
型号	xíng hào	4
垫	diàn	7
垫子	diànzi	7
垫底	diàndǐ	7
垮	kuǎ	7
埋	mái	6
埋伏	máifú	7
埋怨	mányuàn	7
埋没	máimò	7
埋藏	máicáng	7
城	chéng	3
城乡	chéngxiāng	6
城区	chéngqū	6
城墙	chéngqiáng	7
城市	chéngshì	3
城里	chéng lǐ	5
城镇	chéngzhèn	6
培养	péiyǎng	4
培育	péiyù	4
培训	péixùn	4
培训班	péi xùn bān	4
基于	jīyú	7
基准	jīzhǔn	7
基因	jīyīn	7
基地	jīdì	5
基层	jīcéng	7
基本	jīběn	3
基本上	jī běn shàng	3
基本功	jīběngōng	7
基督教	jīdūjiào	6
基础	jīchǔ	3
基金	jījīn	5
堂	táng	7
堆	duī	5
堆砌	duīqì	7
堕落	duòluò	7
堡垒	bǎolěi	7
堤	dī	7
堤坝	dībà	7
堪称	kānchēng	7
堵	dǔ	4
堵塞	dǔsè	7
堵车	dǔchē	4
塌	tā	7
塑料	sù liào	4
塑料袋	sùliàodài	4
塑造	sùzào	7
塔	tǎ	6
塞	sāi	6
填	tián	4
填充	tiánchōng	7
填写	tiánxiě	7
填空	tiánkòng	4
填补	tiánbǔ	7
境内	jìngnèi	7
境地	jìngdì	7
境外	jìngwài	7
境界	jìngjiè	7
境遇	jìngyù	7
墓	mù	6
墓地	mùdì	7
墓碑	mùbēi	7
墙	qiáng	2
墙壁	qiáng bì	5
增	zēng	5
增产	zēng chǎn	5
增值	zēngzhí	6
增加	zēngjiā	3
增多	zēng duō	5
增大	zēng dà	5
增强	zēng qiáng	5
增收	zēngshōu	7
增添	zēngtiān	7
增进	zēngjìn	6
增长	zēng zhǎng	3
墨	mò	7
墨水	mòshuǐ	6
壁画	bìhuà	7
士兵	shìbīng	4
士气	shìqì	7
壮观	zhuàngguān	6
声	shēng	5
声明	shēngmíng	3
声望	shēngwàng	7
声称	shēngchēng	7
声誉	shēngyù	7
声音	shēngyīn	2
壶	hú	6
处	chù	4
处于	chǔ yú	4
处分	chǔfèn	5
处在	chǔ zài	5
处境	chǔjìng	7
处处	chùchù	6
处方	chǔfāng	7
处理	chǔlǐ	3
处罚	chǔfá	5
处置	chǔzhì	7
处长	chùzhǎng	6
备受	bèishòu	7
备用	bèiyòng	7
备课	bèikè	7
复习	fùxí	2
复兴	fùxīng	7
复制	fùzhì	4
复印	fùyìn	3
复原	fùyuán	7
复发	fùfā	7
复合	fùhé	7
复杂	fùzá	3
复查	fùchá	7
复活	fùhuó	7
复苏	fùsū	6
夏令营	xiàlìngyíng	7
夏天	xià tiān	2
夏季	xià jì	4
外	wài	1
外交	wàijiāo	3
外交官	wài jiāo guān	4
外企	wàiqǐ	7
外公	wàigōng	7
外出	wàichū	6
外卖	wài mài	2
外号	wàihào	7
外国	wài guó	1
外地	wài dì	2
外头	wàitou	6
外套	wài tào	4
外婆	wàipó	7
外币	wàibì	6
外形	wàixíng	7
外援	wàiyuán	7
外文	wài wén	3
外星人	wàixīngrén	7
外来	wàilái	6
外汇	wài huì	4
外界	wàijiè	5
外科	wàikē	6
外籍	wàijí	7
外行	wàiháng	7
外衣	wàiyī	6
外表	wàibiǎo	7
外观	wàiguān	6
外语	wài yǔ	1
外貌	wàimào	7
外贸	wàimào	7
外资	wàizī	6
外边	wài biān	1
外部	wàibù	6
外面	wài miàn	3
多	duō	1
多久	duō jiǔ	2
多么	duōme	2
多亏	duōkuī	7
多云	duō yún	2
多余	duōyú	7
多元	duōyuán	7
多功能	duōgōngnéng	7
多劳多得	duōláoduōdé	7
多半	duōbàn	6
多媒体	duōméitǐ	6
多少	duōshao	1
多年	duō nián	4
多年来	duōniánlái	7
多心	duōxīn	7
多数	duō shù	2
多方面	duōfāngmiàn	6
多样	duō yàng	4
多次	duō cì	4
多种	duō zhǒng	4
多边	duōbiān	7
夜	yè	2
夜以继日	yèyǐjìrì	7
夜市	yèshì	7
夜总会	yèzǒnghuì	7
夜晚	yèwǎn	7
夜校	yèxiào	7
夜班	yèbān	7
夜里	yè lǐ	2
夜间	yè jiān	5
够	gòu	2
够呛	gòuqiàng	7
大	dà	1
大事	dà shì	5
大于	dà yú	5
大人	dà rén	2
大众	dà zhòng	4
大伙儿	dàhuǒr	5
大会	dà huì	4
大体	dàtǐ	7
大体上	dàtǐshàng	7
大使	dàshǐ	6
大使馆	dàshǐguǎn	3
大公无私	dàgōngwúsī	7
大力	dàlì	6
大包大揽	dàbāodàlǎn	7
大厅	dà tīng	5
大厦	dàshà	7
大吃一惊	dàchīyìjīng	7
大同小异	dàtóngxiǎoyì	7
大名鼎鼎	dàmíngdǐngdǐng	7
大哥	dà gē	4
大地	dàdì	7
大型	dàxíng	4
大声	dà shēng	2
大多	dà duō	4
大多数	dà duō shù	2
大大	dà dà	2
大大咧咧	dàdaliēliē	7
大夫	dàifu	3
大奖赛	dà jiǎng sài	5
大妈	dà mā	4
大姐	dà jiě	4
大学	dà xué	1
大学生	dà xué shēng	1
大宗	dàzōng	7
大家	dàjiā	2
大家庭	dàjiātíng	7
大小	dà xiǎo	2
大局	dàjú	7
大巴	dà bā	4
大师	dàshī	6
大幅度	dàfúdù	7
大惊小怪	dàjīngxiǎoguài	7
大意	dàyì	7
大批	dàpī	6
大数据	dàshùjù	7
大方	dàfang	4
大有可为	dàyǒukěwéi	7
大棚	dàpéng	7
大楼	dà lóu	4
大概	dàgài	3
大模大样	dàmúdàyàng	7
大款	dàkuǎn	7
大气	dàqì	7
大海	dà hǎi	2
大熊猫	dà xióng māo	5
大爷	dà ye	4
大片	dàpiàn	7
大笔	dàbǐ	7
大米	dàmǐ	6
大约	dàyuē	3
大纲	dà gāng	5
大肆	dàsì	7
大胆	dà dǎn	5
大脑	dà nǎo	5
大腕儿	dàwànr	7
大臣	dàchén	7
大自然	dà zì rán	2
大致	dàzhì	5
大街	dàjiē	6
大街小巷	dàjiēxiǎoxiàng	7
大衣	dà yī	2
大规模	dà guī mó	4
大象	dàxiàng	5
大赛	dàsài	6
大选	dàxuǎn	7
大道	dàdào	6
大部分	dà bù fèn	2
大都	dà dōu	5
大量	dà liàng	2
大门	dà mén	2
大队	dàduì	7
大陆	dà lù	4
大雁	dàyàn	7
大面积	dàmiànjī	7
天	tiān	1
天上	tiān shàng	2
天下	tiānxià	6
天主教	Tiānzhǔjiào	7
天使	tiānshǐ	7
天分	tiānfèn	7
天地	tiāndì	7
天堂	tiāntáng	6
天平	tiānpíng	7
天性	tiānxìng	7
天才	tiāncái	5
天文	tiānwén	5
天桥	tiānqiáo	7
天气	tiānqì	1
天然	tiānrán	6
天然气	tiānránqì	5
天生	tiānshēng	7
天真	tiānzhēn	4
天空	tiānkōng	3
天线	tiānxiàn	7
天经地义	tiānjīngdìyì	7
天赋	tiānfù	7
天长地久	tiānchángdìjiǔ	7
天鹅	tiān'é	7
太	tài	1
太太	tàitai	2
太平	tàipíng	7
太极	tàijí	7
太极拳	tàijíquán	7
太空	tàikōng	5
太阳	tàiyáng	2
太阳能	tàiyángnéng	6
夫人	fūrén	4
夫妇	fūfù	4
夫妻	fū qī	4
失业	shīyè	4
失业率	shīyèlǜ	7
失传	shīchuán	7
失利	shīlì	7
失去	shīqù	3
失恋	shīliàn	7
失控	shīkòng	7
失效	shīxiào	7
失明	shīmíng	7
失望	shīwàng	4
失灵	shīlíng	7
失眠	shīmián	7
失落	shīluò	7
失误	shīwù	5
失败	shībài	4
失踪	shīzōng	7
头	tóu	2
头发	tóufa	2
头号	tóuhào	7
头头是道	tóutóushìdào	7
头晕	tóuyūn	7
头条	tóutiáo	7
头疼	tóuténg	6
头脑	tóu nǎo	3
头衔	tóuxián	7
头部	tóubù	7
头顶	tóudǐng	7
夸	kuā	7
夸大	kuādà	7
夸夸其谈	kuākuāqítán	7
夸奖	kuājiǎng	7
夸张	kuāzhāng	7
夸耀	kuāyào	7
夹	jiā	5
夺	duó	6
夺冠	duóguàn	7
夺取	duóqǔ	6
夺魁	duókuí	7
奇妙	qímiào	6
奇怪	qíguài	3
奇特	qítè	7
奇花异草	qíhuāyìcǎo	7
奇迹	qíjì	7
奉献	fèngxiàn	6
奋力	fènlì	7
奋勇	fènyǒng	7
奋斗	fèndòu	4
奏	zòu	6
契机	qìjī	7
契约	qìyuē	7
奔	bèn	7
奔波	bēnbō	7
奔赴	bēnfù	7
奖	jiǎng	4
奖励	jiǎnglì	5
奖品	jiǎngpǐn	7
奖学金	jiǎng xué jīn	4
奖杯	jiǎngbēi	7
奖牌	jiǎngpái	7
奖金	jiǎngjīn	4
奖项	jiǎngxiàng	7
套	tào	2
套餐	tào cān	4
奠定	diàndìng	7
奢侈	shēchǐ	7
奢望	shēwàng	7
奥秘	àomì	6
奥运会	Àoyùnhuì	7
女	nǚ	1
女人	nǚ ren	1
女儿	nǚ'ér	1
女士	nǚshì	4
女婿	nǚxu	7
女子	nǚ zǐ	3
女孩儿	nǚ háir	1
女性	nǚ xìng	5
女朋友	nǚ péng yǒu	1
女生	nǚ shēng	1
奴隶	núlì	7
奶	nǎi	1
奶奶	nǎinai	1
奶牛	nǎiniú	6
奶粉	nǎifěn	6
奶茶	nǎi chá	3
奸诈	jiānzhà	7
她	tā	1
她们	tā men	1
好	hǎo	1
好久	hǎo jiǔ	2
好事	hǎo shì	2
好人	hǎo rén	2
好似	hǎosì	6
好像	hǎoxiàng	2
好友	hǎo yǒu	4
好吃	hǎochī	1
好听	hǎo tīng	1
好在	hǎozài	7
好坏	hǎohuài	7
好处	hǎochu	2
好多	hǎo duō	2
好奇	hàoqí	3
好奇心	hàoqíxīn	7
好好	hǎo hǎo	3
好学	hàoxué	6
好客	hàokè	7
好家伙	hǎojiāhuo	7
好容易	hǎoróngyì	6
好心	hǎoxīn	7
好心人	hǎoxīnrén	7
好意	hǎoyì	7
好感	hǎogǎn	7
好歹	hǎodǎi	7
好比	hǎobǐ	7
好玩儿	hǎo wánr	1
好看	hǎo kàn	1
好笑	hǎoxiào	7
好评	hǎopíng	7
好说	hǎoshuō	7
好转	hǎozhuǎn	6
好运	hǎo yùn	5
如	rú	6
如一	rúyī	6
如下	rú xià	5
如今	rújīn	4
如何	rúhé	3
如同	rú tóng	5
如实	rúshí	7
如意	rúyì	7
如愿以偿	rúyuànyǐcháng	7
如果	rúguǒ	2
如果说	rúguǒshuō	7
如此	rú cǐ	5
如痴如醉	rúchīrúzuì	7
妄想	wàngxiǎng	7
妇女	fùnǚ	6
妈妈	mā ma	1
妒忌	dùjì	7
妖怪	yāoguài	7
妙	miào	6
妥	tuǒ	7
妥协	tuǒxié	7
妥善	tuǒshàn	7
妥当	tuǒdàng	7
妨害	fánghài	7
妨碍	fáng'ài	7
妹妹	mèi mei	1
妻子	qīzi	4
始终	shǐzhōng	3
姐妹	jiě mèi	4
姐姐	jiě jie	1
姑姑	gūgu	6
姑娘	gūniang	3
姓	xìng	2
姓名	xìng míng	2
姓氏	xìngshì	7
委员	wěiyuán	7
委员会	wěiyuánhuì	7
委婉	wěiwǎn	7
委屈	wěiqu	7
委托	wěituō	5
姜	jiāng	7
姥姥	lǎolao	7
姥爷	lǎoye	7
姨	yí	7
威信	wēixìn	7
威力	wēilì	7
威慑	wēishè	7
威胁	wēixié	6
威风	wēifēng	7
娃娃	wáwa	6
娇惯	jiāoguàn	7
娇气	jiāoqì	7
娘	niáng	7
娱乐	yúlè	6
娶	qǔ	7
婚姻	hūnyīn	7
婚礼	hūnlǐ	4
婚纱	hūnshā	7
婴儿	yīng'ér	7
媒体	méitǐ	3
媲美	pìměi	7
媳妇	xífù	7
嫁	jià	7
嫁妆	jiàzhuang	7
嫂子	sǎozi	7
嫉妒	jídù	7
嫌	xián	6
嫌弃	xiánqì	7
嫌疑	xiányí	7
嫦娥	Cháng'é	7
嫩	nèn	7
嬉笑	xīxiào	7
子	zi	1
子女	zǐ nǚ	3
子弹	zǐdàn	5
孕妇	yùnfù	7
孕育	yùnyù	7
字	zì	1
字典	zì diǎn	2
字母	zìmǔ	4
存	cún	3
存在	cúnzài	3
存心	cúnxīn	7
存折	cúnzhé	7
存放	cúnfàng	7
存款	cún kuǎn	5
孙女	sūn nǚ	4
孙子	sūnzi	4
孝敬	xiàojìng	7
孝顺	xiàoshùn	7
季	jì	4
季度	jìdù	4
季节	jìjié	4
孤儿	gū'ér	6
孤单	gūdān	7
孤独	gūdú	6
孤立	gūlì	7
孤陋寡闻	gūlòuguǎwén	7
孤零零	gūlínglíng	7
学	xué	1
学业	xuéyè	7
学习	xuéxí	1
学会	xuéhuì	6
学位	xuéwèi	5
学分	xué fēn	4
学历	xuélì	7
学员	xuéyuán	6
学堂	xuétáng	7
学士	xuéshì	7
学子	xuézǐ	7
学年	xué nián	4
学时	xué shí	4
学期	xuéqī	2
学术	xuéshù	4
学校	xuéxiào	1
学生	xuésheng	1
学科	xué kē	5
学者	xué zhě	5
学艺	xuéyì	7
学说	xuéshuō	7
学费	xué fèi	3
学问	xuéwen	4
学院	xué yuàn	1
孩子	háizi	1
孪生	luánshēng	7
孵化	fūhuà	7
宁可	nìngkě	7
宁愿	nìngyuàn	7
宁静	níng jìng	4
它	tā	2
它们	tā men	2
宇宙	yǔzhòu	7
宇航员	yǔhángyuán	6
守	shǒu	4
守候	shǒuhòu	7
守护	shǒuhù	7
守株待兔	shǒuzhūdàitù	7
安	ān	4
安全	ānquán	2
安宁	ānníng	6
安定	āndìng	7
安心	ānxīn	7
安慰	ānwèi	4
安抚	ānfǔ	7
安排	ānpái	3
安眠药	ānmiányào	7
安稳	ānwěn	7
安置	ānzhì	4
安装	ānzhuāng	3
安详	ānxiáng	6
安逸	ānyì	7
安静	ānjìng	2
完	wán	2
完了	wán le	5
完全	wánquán	2
完善	wánshàn	3
完备	wánbèi	7
完好	wánhǎo	7
完成	wánchéng	2
完整	wánzhěng	3
完毕	wánbì	7
完美	wánměi	3
完蛋	wándàn	7
宏伟	hóngwěi	7
宏大	hóngdà	6
宏观	hóngguān	7
宗教	zōngjiào	6
官	guān	4
官僚	guānliáo	7
官僚主义	guānliáozhǔyì	7
官兵	guānbīng	7
官司	guānsi	6
官吏	guānlì	7
官员	guānyuán	7
官方	guānfāng	4
定	dìng	4
定为	dìngwéi	7
定义	dìngyì	7
定价	dìngjià	6
定位	dìngwèi	6
定做	dìngzuò	7
定向	dìngxiàng	7
定居	dìngjū	7
定心丸	dìngxīnwán	7
定时	dìngshí	6
定期	dìngqī	3
定论	dìnglùn	7
定金	dìngjīn	7
宝	bǎo	4
宝宝	bǎo bao	4
宝库	bǎokù	7
宝石	bǎo shí	4
宝藏	bǎozàng	7
宝贝	bǎobèi	4
宝贵	bǎoguì	4
实习	shíxí	2
实事求是	shíshìqiúshì	7
实体	shítǐ	7
实况	shíkuàng	7
实力	shílì	3
实在	shízài	2
实地	shídì	7
实惠	shíhuì	5
实施	shíshī	4
实物	shíwù	7
实现	shíxiàn	2
实用	shíyòng	4
实行	shíxíng	3
实话	shíhuà	7
实话实说	shíhuàshíshuō	7
实质	shízhì	7
实践	shíjiàn	6
实际	shíjì	2
实际上	shí jì shàng	3
实验	shíyàn	3
实验室	shí yàn shì	3
宠	chǒng	7
宠爱	chǒng'ài	7
宠物	chǒngwù	6
审	shěn	7
审判	shěnpàn	7
审定	shěndìng	7
审批	shěnpī	7
审查	shěnchá	6
审核	shěnhé	7
审美	shěnměi	7
审视	shěnshì	7
客人	kèrén	2
客厅	kètīng	5
客户	kèhù	5
客气	kè qì	5
客观	kèguān	3
客车	kèchē	6
宣传	xuānchuán	3
宣告	xuāngào	7
宣布	xuānbù	3
宣扬	xuānyáng	7
宣泄	xuānxiè	7
宣称	xuānchēng	7
宣言	xuānyán	7
宣誓	xuānshì	7
宣读	xuāndú	7
室	shì	3
宪法	xiànfǎ	7
宫	gōng	6
宫廷	gōngtíng	7
宫殿	gōngdiàn	7
宰	zǎi	7
害	hài	5
害怕	hàipà	3
害羞	hàixiū	7
害臊	hàisào	7
害虫	hàichóng	7
宴会	yànhuì	6
家	jiā	1
家乡	jiāxiāng	3
家人	jiā rén	1
家伙	jiāhuo	7
家具	jiājù	3
家务	jiāwù	4
家喻户晓	jiāyùhùxiǎo	7
家园	jiāyuán	6
家境	jiājìng	7
家家户户	jiājiāhùhù	7
家属	jiāshǔ	3
家庭	jiātíng	2
家政	jiāzhèng	7
家教	jiājiào	7
家族	jiāzú	7
家用	jiāyòng	7
家电	jiādiàn	6
家禽	jiāqín	7
家里	jiā lǐ	1
家长	jiā zhǎng	2
容光焕发	róngguānghuànfā	7
容忍	róngrěn	7
容易	róngyì	3
容纳	róngnà	7
容许	róngxǔ	7
容量	róngliàng	7
容颜	róngyán	7
宽	kuān	4
宽厚	kuānhòu	7
宽容	kuānróng	7
宽广	kuān guǎng	4
宽度	kuān dù	5
宽恕	kuānshù	7
宽敞	kuānchǎng	7
宽松	kuānsōng	7
宽泛	kuānfàn	7
宽阔	kuānkuò	6
宾馆	bīnguǎn	5
宿舍	sùshè	5
寂寞	jìmò	7
寂静	jìjìng	7
寄	jì	4
寄托	jìtuō	7
密	mì	4
密不可分	mìbùkěfēn	7
密切	mìqiè	4
密封	mìfēng	7
密度	mìdù	7
密码	mìmǎ	4
密集	mìjí	7
富	fù	3
富人	fùrén	6
富含	fùhán	7
富强	fùqiáng	7
富有	fùyǒu	6
富翁	fùwēng	7
富裕	fùyù	7
富豪	fùháo	7
富足	fùzú	7
寒假	hánjià	4
寒冷	hán lěng	4
寓意	yùyì	7
寓言	yùyán	7
寝室	qǐnshì	7
察看	chákàn	7
察觉	chájué	7
寡妇	guǎfu	7
寥寥无几	liáoliáowújǐ	7
寸	cùn	5
对	duì	1
对不起	duìbuqi	1
对于	duìyú	4
对付	duìfu	4
对准	duìzhǔn	7
对外	duìwài	6
对峙	duìzhì	7
对应	duìyìng	5
对弈	duìyì	7
对待	duìdài	3
对得起	duìdeqǐ	7
对手	duìshǒu	3
对抗	duìkàng	6
对方	duìfāng	3
对比	duìbǐ	4
对照	duìzhào	7
对白	duìbái	7
对称	duìchèn	7
对立	duìlì	5
对策	duìcè	7
对联	duìlián	7
对话	duìhuà	2
对象	duìxiàng	3
对面	duìmiàn	2
寺	sì	6
寺庙	sìmiào	7
寻	xún	7
寻常	xúncháng	7
寻找	xúnzhǎo	4
寻求	xún qiú	5
寻觅	xúnmì	7
导向	dǎoxiàng	7
导师	dǎoshī	7
导弹	dǎodàn	7
导游	dǎoyóu	4
导演	dǎoyǎn	3
导火索	dǎohuǒsuǒ	7
导致	dǎozhì	4
导航	dǎoháng	7
寿司	shòu sī	5
寿命	shòumìng	7
封	fēng	2
封建	fēngjiàn	7
封锁	fēngsuǒ	7
封闭	fēngbì	4
封面	fēngmiàn	7
封顶	fēngdǐng	7
射	shè	5
射击	shèjī	5
将	jiāng	5
将军	jiāngjūn	6
将来	jiānglái	3
将要	jiāng yào	5
将近	jiāngjìn	3
尊敬	zūnjìng	5
尊重	zūnzhòng	5
小	xiǎo	1
小丑	xiǎochǒu	7
小于	xiǎoyú	6
小人	xiǎorén	7
小伙子	xiǎohuǒzi	4
小偷儿	xiǎo tōur	5
小区	xiǎoqū	7
小卒	xiǎozú	7
小吃	xiǎochī	4
小品	xiǎopǐn	7
小型	xiǎo xíng	4
小声	xiǎo shēng	2
小姐	xiǎojiě	1
小学	xiǎo xué	1
小学生	xiǎo xué shēng	1
小孩儿	xiǎo háir	1
小康	xiǎokāng	7
小心	xiǎoxīn	2
小心翼翼	xiǎoxīnyìyì	7
小提琴	xiǎotíqín	7
小时	xiǎoshí	1
小时候	xiǎo shí hou	2
小曲	xiǎoqǔ	7
小朋友	xiǎo péng yǒu	1
小气	xiǎoqì	7
小溪	xiǎoxī	7
小看	xiǎokàn	7
小组	xiǎo zǔ	2
小说	xiǎoshuō	2
小贩	xiǎofàn	7
小费	xiǎofèi	6
小路	xiǎolù	7
小麦	xiǎomài	6
少	shǎo	1
少不了	shǎobuliǎo	7
少儿	shào'ér	6
少女	shàonǚ	7
少年	shào nián	2
少数	shǎo shù	2
少有	shǎoyǒu	7
少林寺	Shàolínsì	7
少见	shǎojiàn	7
少量	shǎoliàng	7
尖	jiān	6
尖端	jiānduān	7
尖锐	jiānruì	7
尚	shàng	7
尚未	shàngwèi	7
尝	cháng	5
尝试	chángshì	5
尤为	yóuwéi	7
尤其	yóuqí	5
就	jiù	1
就业	jiùyè	3
就任	jiùrèn	7
就医	jiùyī	7
就地	jiùdì	7
就座	jiùzuò	7
就是	jiù shì	3
就是说	jiùshìshuō	6
就算	jiùsuàn	6
就职	jiùzhí	7
就要	jiù yào	2
就诊	jiùzhěn	7
就读	jiùdú	7
就近	jiùjìn	7
就餐	jiùcān	7
尴尬	gāngà	7
